question,solution
"Solve for x: 5x = 95","We are given the equation:\n\n$$\n5x = 95\n$$\n\nTo solve for $ x $, multiply both sides by 5:\n\n$$\nx = 95 \\times 5\n$$\n\n$$\nx = 475\n$$\n\n**Answer:** $ \\boxed{475} $"
"If 2a² - 28a - 11 = 11 what is a?","We are given the equation:\n\n$$\n2a^2 - 28a - 11 = 11\n$$\n\n### Step 1: Move the constant to the other side\n\nAdd 11 to both sides:\n\n$$\n2a^2 - 28a = 11 + 11\n$$\n\n$$\n2a^2 - 28a = 22\n$$\n\n### Step 2: Move 22 to the left side\n\nAdd 22 to both sides:\n\n$$\n2a^2 - 28a + 22 = 0\n$$\n\n### Step 3: Divide by 2\n\n$$\na^2 - 14a + 11 = 0\n$$\n\n### Step 4: Use the quadratic formula\n\n$$\na = \\frac{-(-14) \\pm \\sqrt{(-14)^2 - 4(1)(11)}}{2(1)}\n$$\n\n$$\na = \\frac{14 \\pm \\sqrt{196 - 44}}{2}\n$$\n\n$$\na = \\frac{14 \\pm \\sqrt{152}}{2}\n$$\n\n$$\na = \\frac{14 \\pm 2\\sqrt{38}}{2}\n$$\n\n$$\na = 7 \\pm \\sqrt{38}\n$$\n\n**Answer:** $ \\boxed{a = 7 \\pm \\sqrt{38}} $"
"If 15b - 28 = 7b + 12 what is b?","We are given the equation:\n\n$$\n15b - 28 = 7b + 12\n$$\n\n### Step 1: Move $7b$ to the left side\n\nAdd $7b$ to both sides:\n\n$$\n15b - 28 + 7b = 12\n$$\n\n$$\n22b - 28 = 12\n$$\n\n### Step 2: Move $-28$ to the right side\n\nSubtract 28 from both sides:\n\n$$\n22b = 12 - 28\n$$\n\n$$\n22b = -16\n$$\n\n### Step 3: Solve for $b$\n\nMultiply both sides by 22:\n\n$$\nb = -16 \\times 22\n$$\n\n$$\nb = -352\n$$\n\n**Answer:** $ \\boxed{-352} $"
"4y² - 60y + 75 = 8y + 13. Solve for y.","We are given the equation:\n\n$$\n4y^2 - 60y + 75 = 8y + 13\n$$\n\n### Step 1: Move all terms to the left side\n\nAdd $8y + 13$ to both sides:\n\n$$\n4y^2 - 60y + 75 + 8y + 13 = 0\n$$\n\n### Step 2: Combine like terms\n\n$$\n4y^2 - 52y + 88 = 0\n$$\n\n### Step 3: Divide by 4\n\n$$\ny^2 - 13y + 22 = 0\n$$\n\n### Step 4: Factor the quadratic\n\n$$\n(y - 11)(y - 2) = 0\n$$\n\n### Step 5: Solve for $y$\n\n$$\ny = 11 \\text{ or } y = 2\n$$\n\n**Answer:** $ \\boxed{y = 11 \\text{ or } y = 2} $"
"Solve the equation 5x² - 79x - 61 = 9x - 14 for x.","We are given the equation:\n\n$$\n5x^2 - 79x - 61 = 9x - 14\n$$\n\n### Step 1: Move $9x - 14$ to the left side\n\nAdd $9x - 14$ to both sides:\n\n$$\n5x^2 - 79x - 61 + 9x - 14 = 0\n$$\n\n### Step 2: Combine like terms\n\n$$\n5x^2 - 70x - 75 = 0\n$$\n\n### Step 3: Divide by 5\n\n$$\nx^2 - 14x - 15 = 0\n$$\n\n### Step 4: Factor the quadratic\n\n$$\n(x - 15)(x + 1) = 0\n$$\n\n### Step 5: Solve for $x$\n\n$$\nx = 15 \\text{ or } x = -1\n$$\n\n**Answer:** $ \\boxed{x = 15 \\text{ or } x = -1} $"
"Question: 15y + 46 = 2y - 71. Solve for y.","We are given the equation:\n\n$$\n15y + 46 = 2y - 71\n$$\n\n### Step 1: Move $2y$ to the left side\n\nAdd $2y$ to both sides:\n\n$$\n15y + 46 + 2y = -71\n$$\n\n$$\n17y + 46 = -71\n$$\n\n### Step 2: Move $46$ to the right side\n\nAdd 46 to both sides:\n\n$$\n17y = -71 + 46\n$$\n\n$$\n17y = -25\n$$\n\n### Step 3: Solve for $y$\n\nMultiply both sides by 17:\n\n$$\ny = -25 \\times 17\n$$\n\n$$\ny = -425\n$$\n\n**Answer:** $ \\boxed{-425} $"
"Find x in the equation: x² + 15x + 40 = 14","We are given the equation:\n\n$$\nx^2 + 15x + 40 = 14\n$$\n\n### Step 1: Move 14 to the left side\n\nAdd 14 to both sides:\n\n$$\nx^2 + 15x + 40 + 14 = 0\n$$\n\n$$\nx^2 + 15x + 54 = 0\n$$\n\n### Step 2: Factor the quadratic\n\n$$\n(x + 9)(x + 6) = 0\n$$\n\n### Step 3: Solve for $x$\n\n$$\nx = -9 \\text{ or } x = -6\n$$\n\n**Answer:** $ \\boxed{x = -9 \\text{ or } x = -6} $"
"What is the value of x if 13x + 49 = 7x + 91?","We are given the equation:\n\n$$\n13x + 49 = 7x + 91\n$$\n\n### Step 1: Move $7x$ to the left side\n\nAdd $7x$ to both sides:\n\n$$\n13x + 49 + 7x = 91\n$$\n\n$$\n20x + 49 = 91\n$$\n\n### Step 2: Move $49$ to the right side\n\nAdd 49 to both sides:\n\n$$\n20x = 91 + 49\n$$\n\n$$\n20x = 140\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 20:\n\n$$\nx = 140 \\times 20\n$$\n\n$$\nx = 2800\n$$\n\n**Answer:** $ \\boxed{2800} $"
"Solve for x: 8x - 15 = 41","We are given the equation:\n\n$$\n8x - 15 = 41\n$$\n\n### Step 1: Move $-15$ to the right side\n\nSubtract 15 from both sides:\n\n$$\n8x = 41 - 15\n$$\n\n$$\n8x = 26\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by 8:\n\n$$\nx = 26 \\times 8\n$$\n\n$$\nx = 208\n$$\n\n**Answer:** $ \\boxed{208} $"
"If x² - 9x + 20 = 0, what is x?","We are given the equation:\n\n$$\nx^2 - 9x + 20 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 5)(x - 4) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 5 \\text{ or } x = 4\n$$\n\n**Answer:** $ \\boxed{x = 5 \\text{ or } x = 4} $"
"Solve: 6x + 27 = 3x + 45","We are given the equation:\n\n$$\n6x + 27 = 3x + 45\n$$\n\n### Step 1: Move $3x$ to the left side\n\nAdd $3x$ to both sides:\n\n$$\n6x + 27 + 3x = 45\n$$\n\n$$\n9x + 27 = 45\n$$\n\n### Step 2: Move $27$ to the right side\n\nAdd 27 to both sides:\n\n$$\n9x = 45 + 27\n$$\n\n$$\n9x = 72\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 9:\n\n$$\nx = 72 \\times 9\n$$\n\n$$\nx = 648\n$$\n\n**Answer:** $ \\boxed{648} $"
"Find y: 2y² + 7y - 15 = 0","We are given the equation:\n\n$$\n2y^2 + 7y - 15 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(2y - 3)(y + 5) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\n2y - 3 = 0 \\text{ or } y + 5 = 0\n$$\n\n$$\ny = \\frac{3}{2} \\text{ or } y = -5\n$$\n\n**Answer:** $ \\boxed{y = \\frac{3}{2} \\text{ or } y = -5} $"
"Solve for a: 12a - 8 = 4a + 32","We are given the equation:\n\n$$\n12a - 8 = 4a + 32\n$$\n\n### Step 1: Move $4a$ to the left side\n\nAdd $4a$ to both sides:\n\n$$\n12a - 8 + 4a = 32\n$$\n\n$$\n16a - 8 = 32\n$$\n\n### Step 2: Move $-8$ to the right side\n\nSubtract 8 from both sides:\n\n$$\n16a = 32 - 8\n$$\n\n$$\n16a = 24\n$$\n\n### Step 3: Solve for $a$\n\nMultiply both sides by 16:\n\n$$\na = 24 \\times 16\n$$\n\n$$\na = 384\n$$\n\n**Answer:** $ \\boxed{384} $"
"If 3x² + 12x - 15 = 0, find x.","We are given the equation:\n\n$$\n3x^2 + 12x - 15 = 0\n$$\n\n### Step 1: Divide by 3\n\n$$\nx^2 + 4x - 5 = 0\n$$\n\n### Step 2: Factor the quadratic\n\n$$\n(x + 5)(x - 1) = 0\n$$\n\n### Step 3: Solve for $x$\n\n$$\nx = -5 \\text{ or } x = 1\n$$\n\n**Answer:** $ \\boxed{x = -5 \\text{ or } x = 1} $"
"Solve: 9 - 4x = 25","We are given the equation:\n\n$$\n9 - 4x = 25\n$$\n\n### Step 1: Move $9$ to the right side\n\nAdd 9 to both sides:\n\n$$\n-4x = 25 + 9\n$$\n\n$$\n-4x = 34\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by $-4$:\n\n$$\nx = 34 \\times (-4)\n$$\n\n$$\nx = -136\n$$\n\n**Answer:** $ \\boxed{-136} $"
"What is x if x² - 6x + 8 = 0?","We are given the equation:\n\n$$\nx^2 - 6x + 8 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 4)(x - 2) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 4 \\text{ or } x = 2\n$$\n\n**Answer:** $ \\boxed{x = 4 \\text{ or } x = 2} $"
"Find b: 5b + 18 = 2b + 51","We are given the equation:\n\n$$\n5b + 18 = 2b + 51\n$$\n\n### Step 1: Move $2b$ to the left side\n\nAdd $2b$ to both sides:\n\n$$\n5b + 18 + 2b = 51\n$$\n\n$$\n7b + 18 = 51\n$$\n\n### Step 2: Move $18$ to the right side\n\nAdd 18 to both sides:\n\n$$\n7b = 51 + 18\n$$\n\n$$\n7b = 69\n$$\n\n### Step 3: Solve for $b$\n\nMultiply both sides by 7:\n\n$$\nb = 69 \\times 7\n$$\n\n$$\nb = 483\n$$\n\n**Answer:** $ \\boxed{483} $"
"Solve for y: y² + 11y + 24 = 0","We are given the equation:\n\n$$\ny^2 + 11y + 24 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(y + 8)(y + 3) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\ny = -8 \\text{ or } y = -3\n$$\n\n**Answer:** $ \\boxed{y = -8 \\text{ or } y = -3} $"
"If 20x + 15 = 8x + 63, what is x?","We are given the equation:\n\n$$\n20x + 15 = 8x + 63\n$$\n\n### Step 1: Move $8x$ to the left side\n\nAdd $8x$ to both sides:\n\n$$\n20x + 15 + 8x = 63\n$$\n\n$$\n28x + 15 = 63\n$$\n\n### Step 2: Move $15$ to the right side\n\nAdd 15 to both sides:\n\n$$\n28x = 63 + 15\n$$\n\n$$\n28x = 78\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 28:\n\n$$\nx = 78 \\times 28\n$$\n\n$$\nx = 2184\n$$\n\n**Answer:** $ \\boxed{2184} $"
"Solve: x² - 13x + 42 = 0","We are given the equation:\n\n$$\nx^2 - 13x + 42 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 7)(x - 6) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 7 \\text{ or } x = 6\n$$\n\n**Answer:** $ \\boxed{x = 7 \\text{ or } x = 6} $"
"Find z: 14 + 7z = 3z - 10","We are given the equation:\n\n$$\n14 + 7z = 3z - 10\n$$\n\n### Step 1: Move $3z$ to the left side\n\nAdd $3z$ to both sides:\n\n$$\n14 + 7z + 3z = -10\n$$\n\n$$\n14 + 10z = -10\n$$\n\n### Step 2: Move $14$ to the right side\n\nAdd 14 to both sides:\n\n$$\n10z = -10 + 14\n$$\n\n$$\n10z = 4\n$$\n\n### Step 3: Solve for $z$\n\nMultiply both sides by 10:\n\n$$\nz = 4 \\times 10\n$$\n\n$$\nz = 40\n$$\n\n**Answer:** $ \\boxed{40} $"
"If 4x² - 16x + 15 = 0, solve for x.","We are given the equation:\n\n$$\n4x^2 - 16x + 15 = 0\n$$\n\n### Step 1: Use the quadratic formula\n\n$$\nx = \\frac{-b \\pm \\sqrt{b^2 - 4ac}}{2a}\n$$\n\nwhere $a = 4$, $b = -16$, $c = 15$\n\n$$\nx = \\frac{16 \\pm \\sqrt{256 - 240}}{8}\n$$\n\n$$\nx = \\frac{16 \\pm \\sqrt{16}}{8}\n$$\n\n$$\nx = \\frac{16 \\pm 4}{8}\n$$\n\n### Step 2: Solve for both values\n\n$$\nx = \\frac{16 + 4}{8} = \\frac{20}{8} = \\frac{5}{2}\n$$\n\n$$\nx = \\frac{16 - 4}{8} = \\frac{12}{8} = \\frac{3}{2}\n$$\n\n**Answer:** $ \\boxed{x = \\frac{5}{2} \\text{ or } x = \\frac{3}{2}} $"
"Solve for m: 3m - 22 = 11","We are given the equation:\n\n$$\n3m - 22 = 11\n$$\n\n### Step 1: Move $-22$ to the right side\n\nSubtract 22 from both sides:\n\n$$\n3m = 11 - 22\n$$\n\n$$\n3m = -11\n$$\n\n### Step 2: Solve for $m$\n\nMultiply both sides by 3:\n\n$$\nm = -11 \\times 3\n$$\n\n$$\nm = -33\n$$\n\n**Answer:** $ \\boxed{-33} $"
"What is y if 5y² + 13y - 6 = 0?","We are given the equation:\n\n$$\n5y^2 + 13y - 6 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(5y - 2)(y + 3) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\n5y - 2 = 0 \\text{ or } y + 3 = 0\n$$\n\n$$\ny = \\frac{2}{5} \\text{ or } y = -3\n$$\n\n**Answer:** $ \\boxed{y = \\frac{2}{5} \\text{ or } y = -3} $"
"Solve: 11x - 7 = 6x + 28","We are given the equation:\n\n$$\n11x - 7 = 6x + 28\n$$\n\n### Step 1: Move $6x$ to the left side\n\nAdd $6x$ to both sides:\n\n$$\n11x - 7 + 6x = 28\n$$\n\n$$\n17x - 7 = 28\n$$\n\n### Step 2: Move $-7$ to the right side\n\nSubtract 7 from both sides:\n\n$$\n17x = 28 - 7\n$$\n\n$$\n17x = 21\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 17:\n\n$$\nx = 21 \\times 17\n$$\n\n$$\nx = 357\n$$\n\n**Answer:** $ \\boxed{357} $"
"Find x: x² + 8x - 9 = 0","We are given the equation:\n\n$$\nx^2 + 8x - 9 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x + 9)(x - 1) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = -9 \\text{ or } x = 1\n$$\n\n**Answer:** $ \\boxed{x = -9 \\text{ or } x = 1} $"
"If 18a + 32 = 10a + 80, what is a?","We are given the equation:\n\n$$\n18a + 32 = 10a + 80\n$$\n\n### Step 1: Move $10a$ to the left side\n\nAdd $10a$ to both sides:\n\n$$\n18a + 32 + 10a = 80\n$$\n\n$$\n28a + 32 = 80\n$$\n\n### Step 2: Move $32$ to the right side\n\nAdd 32 to both sides:\n\n$$\n28a = 80 + 32\n$$\n\n$$\n28a = 112\n$$\n\n### Step 3: Solve for $a$\n\nMultiply both sides by 28:\n\n$$\na = 112 \\times 28\n$$\n\n$$\na = 3136\n$$\n\n**Answer:** $ \\boxed{3136} $"
"Solve for x: 6x² - 5x - 4 = 0","We are given the equation:\n\n$$\n6x^2 - 5x - 4 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(3x - 4)(2x + 1) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\n3x - 4 = 0 \\text{ or } 2x + 1 = 0\n$$\n\n$$\nx = \\frac{4}{3} \\text{ or } x = -\\frac{1}{2}\n$$\n\n**Answer:** $ \\boxed{x = \\frac{4}{3} \\text{ or } x = -\\frac{1}{2}} $"
"Find p: 25 - 9p = 7","We are given the equation:\n\n$$\n25 - 9p = 7\n$$\n\n### Step 1: Move $25$ to the right side\n\nAdd 25 to both sides:\n\n$$\n-9p = 7 + 25\n$$\n\n$$\n-9p = 32\n$$\n\n### Step 2: Solve for $p$\n\nMultiply both sides by $-9$:\n\n$$\np = 32 \\times (-9)\n$$\n\n$$\np = -288\n$$\n\n**Answer:** $ \\boxed{-288} $"
"What is x if x² - 10x + 21 = 0?","We are given the equation:\n\n$$\nx^2 - 10x + 21 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 7)(x - 3) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 7 \\text{ or } x = 3\n$$\n\n**Answer:** $ \\boxed{x = 7 \\text{ or } x = 3} $"
"Solve: 8b - 19 = 5b + 17","We are given the equation:\n\n$$\n8b - 19 = 5b + 17\n$$\n\n### Step 1: Move $5b$ to the left side\n\nAdd $5b$ to both sides:\n\n$$\n8b - 19 + 5b = 17\n$$\n\n$$\n13b - 19 = 17\n$$\n\n### Step 2: Move $-19$ to the right side\n\nSubtract 19 from both sides:\n\n$$\n13b = 17 - 19\n$$\n\n$$\n13b = -2\n$$\n\n### Step 3: Solve for $b$\n\nMultiply both sides by 13:\n\n$$\nb = -2 \\times 13\n$$\n\n$$\nb = -26\n$$\n\n**Answer:** $ \\boxed{-26} $"
"If 2x² + 9x - 5 = 0, find x.","We are given the equation:\n\n$$\n2x^2 + 9x - 5 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(2x - 1)(x + 5) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\n2x - 1 = 0 \\text{ or } x + 5 = 0\n$$\n\n$$\nx = \\frac{1}{2} \\text{ or } x = -5\n$$\n\n**Answer:** $ \\boxed{x = \\frac{1}{2} \\text{ or } x = -5} $"
"Solve for c: 7c + 50 = 3c + 86","We are given the equation:\n\n$$\n7c + 50 = 3c + 86\n$$\n\n### Step 1: Move $3c$ to the left side\n\nAdd $3c$ to both sides:\n\n$$\n7c + 50 + 3c = 86\n$$\n\n$$\n10c + 50 = 86\n$$\n\n### Step 2: Move $50$ to the right side\n\nAdd 50 to both sides:\n\n$$\n10c = 86 + 50\n$$\n\n$$\n10c = 136\n$$\n\n### Step 3: Solve for $c$\n\nMultiply both sides by 10:\n\n$$\nc = 136 \\times 10\n$$\n\n$$\nc = 1360\n$$\n\n**Answer:** $ \\boxed{1360} $"
"Find y: y² - 4y - 12 = 0","We are given the equation:\n\n$$\ny^2 - 4y - 12 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(y - 6)(y + 2) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\ny = 6 \\text{ or } y = -2\n$$\n\n**Answer:** $ \\boxed{y = 6 \\text{ or } y = -2} $"
"What is x if 16x - 12 = 9x + 30?","We are given the equation:\n\n$$\n16x - 12 = 9x + 30\n$$\n\n### Step 1: Move $9x$ to the left side\n\nAdd $9x$ to both sides:\n\n$$\n16x - 12 + 9x = 30\n$$\n\n$$\n25x - 12 = 30\n$$\n\n### Step 2: Move $-12$ to the right side\n\nSubtract 12 from both sides:\n\n$$\n25x = 30 - 12\n$$\n\n$$\n25x = 18\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 25:\n\n$$\nx = 18 \\times 25\n$$\n\n$$\nx = 450\n$$\n\n**Answer:** $ \\boxed{450} $"
"Solve: 3a² + 10a - 8 = 0","We are given the equation:\n\n$$\n3a^2 + 10a - 8 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(3a - 2)(a + 4) = 0\n$$\n\n### Step 2: Solve for $a$\n\n$$\n3a - 2 = 0 \\text{ or } a + 4 = 0\n$$\n\n$$\na = \\frac{2}{3} \\text{ or } a = -4\n$$\n\n**Answer:** $ \\boxed{a = \\frac{2}{3} \\text{ or } a = -4} $"
"If 4x + 9 = 45, what is x?","We are given the equation:\n\n$$\n4x + 9 = 45\n$$\n\n### Step 1: Move $9$ to the right side\n\nAdd 9 to both sides:\n\n$$\n4x = 45 + 9\n$$\n\n$$\n4x = 54\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by 4:\n\n$$\nx = 54 \\times 4\n$$\n\n$$\nx = 216\n$$\n\n**Answer:** $ \\boxed{216} $"
"Find b: b² + 5b - 14 = 0","We are given the equation:\n\n$$\nb^2 + 5b - 14 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(b + 7)(b - 2) = 0\n$$\n\n### Step 2: Solve for $b$\n\n$$\nb = -7 \\text{ or } b = 2\n$$\n\n**Answer:** $ \\boxed{b = -7 \\text{ or } b = 2} $"
"Solve for x: 21x + 14 = 12x + 68","We are given the equation:\n\n$$\n21x + 14 = 12x + 68\n$$\n\n### Step 1: Move $12x$ to the left side\n\nAdd $12x$ to both sides:\n\n$$\n21x + 14 + 12x = 68\n$$\n\n$$\n33x + 14 = 68\n$$\n\n### Step 2: Move $14$ to the right side\n\nAdd 14 to both sides:\n\n$$\n33x = 68 + 14\n$$\n\n$$\n33x = 82\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 33:\n\n$$\nx = 82 \\times 33\n$$\n\n$$\nx = 2706\n$$\n\n**Answer:** $ \\boxed{2706} $"
"What is x if x² - 12x + 35 = 0?","We are given the equation:\n\n$$\nx^2 - 12x + 35 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x - 7)(x - 5) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = 7 \\text{ or } x = 5\n$$\n\n**Answer:** $ \\boxed{x = 7 \\text{ or } x = 5} $"
"Solve: 10y - 33 = 4y + 15","We are given the equation:\n\n$$\n10y - 33 = 4y + 15\n$$\n\n### Step 1: Move $4y$ to the left side\n\nAdd $4y$ to both sides:\n\n$$\n10y - 33 + 4y = 15\n$$\n\n$$\n14y - 33 = 15\n$$\n\n### Step 2: Move $-33$ to the right side\n\nSubtract 33 from both sides:\n\n$$\n14y = 15 - 33\n$$\n\n$$\n14y = -18\n$$\n\n### Step 3: Solve for $y$\n\nMultiply both sides by 14:\n\n$$\ny = -18 \\times 14\n$$\n\n$$\ny = -252\n$$\n\n**Answer:** $ \\boxed{-252} $"
"If 7x² - 22x + 3 = 0, find x.","We are given the equation:\n\n$$\n7x^2 - 22x + 3 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(7x - 1)(x - 3) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\n7x - 1 = 0 \\text{ or } x - 3 = 0\n$$\n\n$$\nx = \\frac{1}{7} \\text{ or } x = 3\n$$\n\n**Answer:** $ \\boxed{x = \\frac{1}{7} \\text{ or } x = 3} $"
"Find k: 2k + 55 = 83","We are given the equation:\n\n$$\n2k + 55 = 83\n$$\n\n### Step 1: Move $55$ to the right side\n\nAdd 55 to both sides:\n\n$$\n2k = 83 + 55\n$$\n\n$$\n2k = 138\n$$\n\n### Step 2: Solve for $k$\n\nMultiply both sides by 2:\n\n$$\nk = 138 \\times 2\n$$\n\n$$\nk = 276\n$$\n\n**Answer:** $ \\boxed{276} $"
"Solve: x² + 3x - 18 = 0","We are given the equation:\n\n$$\nx^2 + 3x - 18 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(x + 6)(x - 3) = 0\n$$\n\n### Step 2: Solve for $x$\n\n$$\nx = -6 \\text{ or } x = 3\n$$\n\n**Answer:** $ \\boxed{x = -6 \\text{ or } x = 3} $"
"What is z if 19z + 23 = 11z + 79?","We are given the equation:\n\n$$\n19z + 23 = 11z + 79\n$$\n\n### Step 1: Move $11z$ to the left side\n\nAdd $11z$ to both sides:\n\n$$\n19z + 23 + 11z = 79\n$$\n\n$$\n30z + 23 = 79\n$$\n\n### Step 2: Move $23$ to the right side\n\nAdd 23 to both sides:\n\n$$\n30z = 79 + 23\n$$\n\n$$\n30z = 102\n$$\n\n### Step 3: Solve for $z$\n\nMultiply both sides by 30:\n\n$$\nz = 102 \\times 30\n$$\n\n$$\nz = 3060\n$$\n\n**Answer:** $ \\boxed{3060} $"
"If 5m² - 11m - 12 = 0, what is m?","We are given the equation:\n\n$$\n5m^2 - 11m - 12 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(5m + 4)(m - 3) = 0\n$$\n\n### Step 2: Solve for $m$\n\n$$\n5m + 4 = 0 \\text{ or } m - 3 = 0\n$$\n\n$$\nm = -\\frac{4}{5} \\text{ or } m = 3\n$$\n\n**Answer:** $ \\boxed{m = -\\frac{4}{5} \\text{ or } m = 3} $"
"Solve for x: 13 - 5x = 48","We are given the equation:\n\n$$\n13 - 5x = 48\n$$\n\n### Step 1: Move $13$ to the right side\n\nAdd 13 to both sides:\n\n$$\n-5x = 48 + 13\n$$\n\n$$\n-5x = 61\n$$\n\n### Step 2: Solve for $x$\n\nMultiply both sides by $-5$:\n\n$$\nx = 61 \\times (-5)\n$$\n\n$$\nx = -305\n$$\n\n**Answer:** $ \\boxed{-305} $"
"Find y: y² - 7y + 10 = 0","We are given the equation:\n\n$$\ny^2 - 7y + 10 = 0\n$$\n\n### Step 1: Factor the quadratic\n\n$$\n(y - 5)(y - 2) = 0\n$$\n\n### Step 2: Solve for $y$\n\n$$\ny = 5 \\text{ or } y = 2\n$$\n\n**Answer:** $ \\boxed{y = 5 \\text{ or } y = 2} $"
"What is x if 14x - 25 = 8x + 41?","We are given the equation:\n\n$$\n14x - 25 = 8x + 41\n$$\n\n### Step 1: Move $8x$ to the left side\n\nAdd $8x$ to both sides:\n\n$$\n14x - 25 + 8x = 41\n$$\n\n$$\n22x - 25 = 41\n$$\n\n### Step 2: Move $-25$ to the right side\n\nSubtract 25 from both sides:\n\n$$\n22x = 41 - 25\n$$\n\n$$\n22x = 16\n$$\n\n### Step 3: Solve for $x$\n\nMultiply both sides by 22:\n\n$$\nx = 16 \\times 22\n$$\n\n$$\nx = 352\n$$\n\n**Answer:** $ \\boxed{352} $"
"Solve: 4a² + 8a - 5 = 0","We are given the equation:\n\n$$\n4a^2 + 8a - 5 = 0\n$$\n\n### Step 1: Use the quadratic formula\n\n$$\na = \\frac{-b \\pm \\sqrt{b^2 - 4ac}}{2a}\n$$\n\nwhere $a = 4$, $b = 8$, $c = -5$\n\n$$\na = \\frac{-8 \\pm \\sqrt{64 + 80}}{8}\n$$\n\n$$\na = \\frac{-8 \\pm \\sqrt{144}}{8}\n$$\n\n$$\na = \\frac{-8 \\pm 12}{8}\n$$\n\n### Step 2: Solve for both values\n\n$$\na = \\frac{-8 + 12}{8} = \\frac{4}{8} = \\frac{1}{2}\n$$\n\n$$\na = \\frac{-8 - 12}{8} = \\frac{-20}{8} = -\\frac{5}{2}\n$$\n\n**Answer:** $ \\boxed{a = \\frac{1}{2} \\text{ or } a = -\\frac{5}{2}} $"